Customeraccount;ax;Archived;KeyAccountCode;DeliveryAddress;DeliveryAddress2;KeyAccount;Name;Search name;ZIPCODE;CITY;COUNTRYREGIONID;STREET;Telephone;Extension;CURRENCY;Customer group;Invoice account;Created date and time;Created by;VAT number;Country region;AccessRights;GroupID
00402;Yes;;00401;;;No;BOCM Pauls Ltd;BOCM Pauls Ltd   S;IP30 9NH;Bury St. Edmunds, Suffolk;UK;The Airfield, Rougham;;;GBP;003;00401;2011-06-24 14:16:50;?;GB720113890;UK;UK;59,69
00403;Yes;;;;;Yes;Trans-O-Flex;Trans-O-Flex  B+S;2300;Turnhout;BEL;Bremheidelaan 10;;;EUR;003;;2011-06-24 14:16:50;?;BE0447691919;BEL;BEL;54,69
00404;Yes;;;;;Yes;Complementos de Piensos Compuestos SA;Complementos de Piensos  B+S;31153;Eneriz (Navarra);ESP;Ctra. Adios S/N;+34 948 350103;;EUR;003;;2011-06-24 14:16:50;?;ESA31078470;ESP;ESP;56,69
00406;Yes;;;;;Yes;Voeders Dick;Voeders Dick   B + S;8840;Staden;BEL;Kleine Veldstraat 39;;;EUR;003;;2011-06-24 14:16:50;?;BE0418725343;BEL;BEL;54,69
00407;Yes;;;00836;00836;Yes;Voeders Denys NV;Voeders Denys NV        B;8810;Lichtervelde;BEL;Industrielaan 30;051-722082;;EUR;003;;2011-06-24 14:16:50;?;BE0406995865;BEL;BEL;54,69
00407_8810;Yes;;;00836;00836;No;Voeders Denys NV;Voeders Denys NV        B;8810;Lichtervelde;BEL;Industrielaan 30;051-722082;;EUR;003;;2011-06-24 14:16:50;?;BE0406995865;BEL;BEL;54,69
00408;Yes;;;00009;00009;Yes;Trouw Nutrition Nederland BV;Trouw Nutr Ned. B;5830 AA;Boxmeer;NLD;tav.Nutreco FSSC-AP, Posbus 36;;;EUR;003;;2011-06-24 14:16:50;?;NL001220093B01;NLD;NLD;55,69
00409;Yes;;;;;Yes;MATVET SANTE ANIMALE;Matvet  Algerie  B + S;16006;Bouzareah - 16 006 -Alger;DZA;31 Bis, Lotissement Vincent;;;EUR;003;;2011-06-24 14:16:50;?;;DZA;DZA;256,69
00411;Yes;;;;;Yes;Retford Poultry Partnership - Unit 5;Retford Poultry Partnership   B + S;DN22 7SN;Retford Nottinghamshire;UK;Sterling Rd-West Carr Rd. Industr. Est.;+44 1777 703011;;GBP;003;;2011-06-24 14:16:50;?;GB125260990;UK;UK;59,69
00412;Yes;;;;;Yes;Ann Lein;Ann Lein;8600;Diksmuide;BEL;Pollaertstraat 10;0496 270280;;EUR;003;;2011-06-24 14:16:50;?;BE0674247889;BEL;BEL;54,69
00413;Yes;1;00097;;;No;Trouw Nutrition International DC    S;Trouw Nutr  Internat (DO NOT USE);3880 AA;Putten;NLD;Nijverheidsweg 2;;;EUR;003;00097;2011-06-24 14:16:50;?;NL0812439466B01;NLD;NLD;55,69
00414;Yes;;;01574,01855,03336,03438,04311,04334;01574,01855,03336,03438,04311,04334;Yes;Garth Vets.;Garth Vets.;YO25 8BE;Driffield, East Yorkshire;UK;Straight Lane - Beeford;+44 1262 488323;;GBP;003;;2011-06-24 14:16:50;?;GB598807275;UK;UK;59,69
00414_PE23 4JN;Yes;;;01574,01855,03336,03438,04311,04334;01574,01855,03336,03438,04311,04334;No;Garth Vets.;Garth Vets.;PE23 4JN;Spilsby;UK;Sausthope HallLincolnshire;+44 1262 488323;;GBP;003;;2011-06-24 14:16:50;?;GB598807275;UK;UK;59,69
00414_TF10 8AQ;Yes;;;01574,01855,03336,03438,04311,04334;01574,01855,03336,03438,04311,04334;No;Garth Vets.;Garth Vets.;TF10 8AQ;Newport;UK;Whitley ManorShropshire;+44 1262 488323;;GBP;003;;2011-06-24 14:16:50;?;GB598807275;UK;UK;59,69
00414_YO12 4SN;Yes;;;01574,01855,03336,03438,04311,04334;01574,01855,03336,03438,04311,04334;No;Garth Vets.;Garth Vets.;YO12 4SN;Staxton, Scarborough;UK;Staxton;+44 1262 488323;;GBP;003;;2011-06-24 14:16:50;?;GB598807275;UK;UK;59,69
00415;Yes;;;;;Yes;Comercial Novellas Crespi SL;Comercial Novellas Crespi;08503;GURB (Barcelona);ESP;Barcelona Str. 36 Polig. Ind. Mas Gali;+34 938891003;;EUR;003;;2011-06-24 14:16:50;?;ESB63086623;ESP;ESP;56,69
00417;Yes;1;;;;Yes;Inntaler Mischfutter DO NOT USE;Inntaler Mischfutter  DO NOT USE;84034;Landshut;DEU;Kloetzmuellerstrasse 140;+49 871 685301;;EUR;003;;2011-06-24 14:16:50;?;DE131624712;DEU;DEU;53,69
00419;Yes;;;;;Yes;Fierens Mengvoeders NV;Fierens Mengvoeders NV   B + S;9140;Temse;BEL;Walgoedstraat 8;03 7229261;;EUR;003;;2011-06-24 14:16:50;?;BE0448169890;BEL;BEL;54,69
00420;Yes;1;;;;Yes;Fierens Mengvoeders NV;Fierens Mengvoeders NV    DO NOT USE;9140;Temse;BEL;Walgoedstraat 8;03 7229261;;EUR;003;;2011-06-24 14:16:50;?;BE0448169890;BEL;BEL;54,69
00421;Yes;;;;;Yes;Sanofarm;Sanofarm     B + S;8340;Damme;BEL;Polderstraat 5;050 350544;;EUR;003;;2011-06-24 14:16:50;?;BE0865819327;BEL;BEL;54,69
00423;Yes;;00662;;;No;Versele-Laga NV;Versele- Laga NV Hasselt S(Deinze B);3500;Hasselt;BEL;Kempische Kaai 89;;;EUR;003;00662;2011-06-24 14:16:50;?;BE0424901669;BEL;BEL;54,69
00425;Yes;1;;00046,00858;00046,00858;Yes;Animedica International GmbH;Animedica NL Entrepot NL  DO NOT USE;60486;Frankfurt am Main;DEU;Solmsstrasse 41;;;EUR;003;;2011-06-24 14:16:50;?;NL806274311B01;DEU;DEU;53,69
00425_60036;Yes;1;;00046,00858;00046,00858;No;Animedica International GmbH;Animedica NL Entrepot NL  DO NOT USE;60036;Frankfurt am Main;DEU;Reuterweg 51-53 (Postfach 11 01 42);;;EUR;003;;2011-06-24 14:16:50;?;NL806274311B01;DEU;DEU;53,69
00427;Yes;;;;;Yes;Combipharm CC;Combipharm CC  B+S;346;KYASAND;ZAF;11 Vervoer Street;00  27 11 6996266;;EUR;003;;2011-06-24 14:16:50;?;;ZAF;ZAF;200,69
00429;Yes;;;;;Yes;Howletts Wild Animal Parks;Howletts Wild Animal Parks;CT21 4PD;Hythe - Kent;UK;Aldington Road - Lympne;01303 264647;;GBP;003;;2011-06-24 14:16:50;?;GB849750482;UK;UK;59,69
00430;Yes;;;01704;01704;Yes;Bioroman Spa;Bioroman Spa   B;90131;Palermo;ITA;Via Maio Oneto 7;+39 091 8139648;;EUR;003;;2011-06-24 14:16:50;?;IT04762170829;ITA;ITA;52,69
00431;Yes;1;00653;;;No;Versele-Laga NV;Versele-Laga Deinze  DO NOT USE;9800;Deinze 9800;BEL;Kapellestraat 70;+32 9 381 3200;;EUR;003;00653;2011-06-24 14:16:50;?;BE0424901669;BEL;BEL;54,69
00432;Yes;;;;;Yes;Animate Animal Health;Animate Animal Health  B+S;0154;Centurion;ZAF;43 Hornbill Street,Rooihuiskraal;;;USD;003;;2011-06-24 14:16:50;?;;ZAF;ZAF;200,69
00433;Yes;;00218;;;No;Gesco Consorzio Cooperativo;Gesco Consorzio Coop  Ravenna    S;48100;Porto S. Vitale di Ravenna;ITA;Via Classicana 47;;;EUR;003;00218;2011-06-24 14:16:50;?;;ITA;ITA;52,69
00434;Yes;;02042;;;No;A.I.A-Agricola Italiana Alimentare S.p.A.;Agricola Italiana Alimentare Osped Eug S;35045;Ospedaletto Euganeo (PD);ITA;Via Aldo Rossi, 3;0429 678126;;EUR;003;02042;2011-06-24 14:16:50;?;IT02447620234;ITA;ITA;52,69
00436;Yes;;;;;Yes;Jata Emona;Jata Emona;1000;Ljubljana;SVN;Agrokombinatska 84;00 386 1 5281913;;EUR;003;;2011-06-24 14:16:50;?;SI37638343;SVN;SVN;204,69
00439;Yes;;;;;Yes;Muskator-Werke GmbH;Muskator-Werke   B;40221;Duesseldorf;DEU;Weizenmuehlenstr. 1;00 49 211 7015234;;EUR;003;;2011-06-24 14:16:50;?;DE811750927;DEU;DEU;53,69
00440;Yes;;;;;Yes;Algoet NV;Algoet NV;9870;Zulte;BEL;Vijvestraat 191;056 625120;;EUR;003;;2011-06-24 14:16:50;?;BE0414343121;BEL;BEL;54,69
00443;Yes;;;;;Yes;Twilmij BV;Twilmij BV;3776 LZ;Stroe;NLD;Houtbeekweg 4;0031 342 441781;;EUR;003;;2011-06-24 14:16:50;?;NL006094065B01;NLD;NLD;55,69
00444;Yes;;;;;Yes;Codifar NV;Codifar NV;2160;Wommelgem;BEL;Lt. Karel Caluwaertstraat 1;03 3537126;;EUR;003;;2011-06-24 14:16:50;?;BE0416044777;BEL;BEL;54,69
00445;Yes;;00082;;;No;Mignini & Petrini Spa;Mignini & Petrini, Bastia Umbra    S;06083;Bastia Umbra  (PG);ITA;Via IV Novembre 2/4;;;EUR;003;00082;2011-06-24 14:16:50;?;IT01659710543;ITA;ITA;52,69
00446;Yes;;00174;;;No;Voeders Callewaert NV;Voeders Callewaert  S (B=Dumoulin);8850;Ardooie;BEL;Berlingmolenstraat 64;051 747181;;EUR;003;00174;2011-06-24 14:16:50;?;BE0408360991;BEL;BEL;54,69
00447;Yes;;01329;;;No;INZO SAS;INZO SAS   S;22606;Loudeac;FRA;Z.I du CalouëtB.P. 617;+33 3 23833927;;EUR;003;01329;2011-06-24 14:16:50;?;FR02353674542;FRA;FRA;50,69
00448;Yes;;;;;Yes;J. Lisabeth Voeders;J. Lisabeth Voeders      B + S;9800;Gottem-Deinze;BEL;Oude Heirbaan 184;051 633253;;EUR;003;;2011-06-24 14:16:50;?;BE0407648141;BEL;BEL;54,69
00450;Yes;;;;;Yes;Proteus Srl;Proteus Srl    B + S;97100;Ragusa (RG);ITA;C.da Monachella S.P. 52 km 1.060;+39 0932 642540;;EUR;003;;2011-06-24 14:16:50;?;IT01008980888;ITA;ITA;52,69
00451;Yes;;;;;Yes;TREI Industria Italiana Integratori TREI Spa;TREI Industria Italiana IntegratoriB + S;42010;Rio Saliceto (RE);ITA;Via Affarosa 4;+39 0522 640755;;EUR;003;;2011-06-24 14:16:50;?;IT04515040964;ITA;ITA;52,69
00452;Yes;;;;;Yes;Prodotti A.I. Chem Srl;Prodotti A.I. Chem Srl    B + S;20068;Peschiera Borromeo (MI);ITA;Via F.lli Bandiera 20;+39 02 55302190;;EUR;003;;2011-06-24 14:16:50;?;IT09350810157;ITA;ITA;52,69
00453;Yes;;;00454;00454;Yes;GS agri eG;GS agri eG    B;49685;Schneiderkrug;DEU;Raiffeisenstr. 4;+49 4447 802320;;EUR;003;;2011-06-24 14:16:50;?;DE117108036;DEU;DEU;53,69
00454;Yes;;00453;;;No;GS agri eG;GS agri eG    S;49681;Garrel;DEU;Petersfelder Str. 51;;;EUR;003;00453;2011-06-24 14:16:50;?;DE117108036;DEU;DEU;53,69
00456;Yes;1;00286;;;No;D2000 (Delva)   DO NOT USE;D2000 (Delva)     S    DO NOT USE;8800;Roeselare;BEL;Kaaistraat 49;;;EUR;003;00286;2011-06-24 14:16:50;?;;BEL;BEL;54,69
00457;Yes;1;;;;Yes;D2000 NV;D2000 NV      DO NOT USE;8800;Roeselare;BEL;Kaaistraat 49;051 240435;;EUR;003;;2011-06-24 14:16:50;?;BE0867254234;BEL;BEL;54,69
00458;Yes;;;;;Yes;Ridgeway Research Ltd;Ridgeway Research Ltd B + S;GL15 6QX;St-Briavels Gloucestershire;UK;Park Farm Building - Park Lane;+44 1594530809;;GBP;003;;2011-06-24 14:16:50;?;GB531872151;UK;UK;59,69
00459;Yes;;00050;;;No;VitaVis GmbH(Agravis)  Werk Oldenburg;VitaVis GmbH Oldenburg  S;26122;Oldenburg Innenstadt;DEU;Stau 199-203;;;EUR;003;00050;2011-06-24 14:16:50;?;;DEU;DEU;53,69
00461;Yes;;;;;Yes;Albor Srl;Albor Srl     B +  S;42046;Reggiolo (RE);ITA;Via A. Vespucci 67 - Z.I. Ranaro;+39 0522973056/97396;;EUR;003;;2011-06-24 14:16:50;?;IT02051600209;ITA;ITA;52,69
00462;Yes;;;00534;00534;Yes;Molimen S.L.;Molimen S.L.;08980;Sant Feliu de Llobregat;ESP;PS. Comte de Vilardaga 77;+34 93 632 6996;;EUR;003;;2011-06-24 14:16:50;?;ESB63426282;ESP;ESP;56,69
00463;Yes;;;;;Yes;Geisberger Gesellsch. Energieoptim. mbH;Geisberger Gesellsch.  Energieopt  B + S;84419;Schwindegg;DEU;Hassenham 4;+49 8082 9196;;EUR;003;;2011-06-24 14:16:50;?;DE204232112;DEU;DEU;53,69
00464;Yes;;;;;Yes;Bioscreen Technologies Srl;Bioscreen Technologies Srl;47032;Bertinoro (FC);ITA;Via Caduti di Via Fani 830;+39 0543 449411;;EUR;003;;2011-06-24 14:16:50;?;IT02692440403;ITA;ITA;52,69
00465;Yes;;;;;Yes;Denkavit Nederland BV;Denkavit Nederland  B + S;3780 BA;Voorthuizen;NLD;Tolnegenweg 65 - Postbus 5;;;EUR;003;;2011-06-24 14:16:50;?;NL005437477B04;NLD;NLD;55,69
00466;Yes;;;;;Yes;Klaasen & C° NV;Klaasen & C°       B + S;2380;Ravels;BEL;Peelsestraat 33;014 654890;;EUR;003;;2011-06-24 14:16:50;?;BE0404166237;BEL;BEL;54,69
00467;Yes;;;;;Yes;Centralfarma Societa Cooperativa;Centralfarma Societa Cooperativa B +  S;25024;Leno (BS);ITA;Via C. Colombo 27/1;+39 0309038995;;EUR;003;;2011-06-24 14:16:50;?;IT02019210984;ITA;ITA;52,69
00468;Yes;;;00471,00550,02137;00471,00550,02137;Yes;Consorzio Agrario Del Nordest Soc. Coop;Consorzio Agrario Del Nordest Soc. B;37135;Verona (VR);ITA;Via Francia 2;+39 0458270582;;EUR;003;;2011-06-24 14:16:50;?;IT03335760231;ITA;ITA;52,69
00468_37050;Yes;;;00471,00550,02137;00471,00550,02137;No;Consorzio Agrario Del Nordest Soc. Coop;Consorzio Agrario Del Nordest Soc. B;37050;San Pietro di Morubio (VR);ITA;Viale Del Lavoro 22;+39 0458270582;;EUR;003;;2011-06-24 14:16:50;?;IT03335760231;ITA;ITA;52,69
00469;Yes;;00082;;;No;Mignini & Petrini Spa;Mignini & Petrini  Caivano (NA)   S;80023;Caivano (NA);ITA;Loc. Pascarola Zona Ind.le;;;EUR;003;00082;2011-06-24 14:16:50;?;IT01659710543;ITA;ITA;52,69
00470;Yes;;;;;No;Advance Properties OOD;Advance Properties OOD;1797;Sofia;BGR;G.M. Dimitrov Blvd 10;;;EUR;009;00470;2011-06-24 14:16:50;?;BG131159471;BGR;BGR;188,69
00471;Yes;;00468;;;No;Cons. Agr. Nordest S.Pietro Mor. Mangimificio;Consorzio Agr Nordest Pietro di Mor  S;37050;San Pietro di Morubio (VR);ITA;Viale del Lavoro 22;;;EUR;003;00468;2011-06-24 14:16:50;?;IT03335760231;ITA;ITA;52,69
00472;Yes;;00381;;;No;Heinrich Dehn Intern. Spedition;Heinrich Dehn    Berg & Sch   S;22113;Hamburg;DEU;Liebigstrasse 92;;;EUR;003;00381;2011-06-24 14:16:50;?;;DEU;DEU;53,69
00473;Yes;;;;;Yes;Els De Visschere;Els De Visschere;8630;Houtem;BEL;Houtemstraat 22;;;EUR;003;;2011-06-24 14:16:50;?;BE0681342351;BEL;BEL;54,69
00475;Yes;;;00476;00476;Yes;Martin Wimmer;Martin Wimmer       B;84051;Essenbach;DEU;Kastanienhof;+49 8703906555;;EUR;003;;2011-06-24 14:16:50;?;DE13228861000;DEU;DEU;53,69
00476;Yes;;00475;;;No;Martin Wimmer;MArtin Wimmer   S;84051;Essenbach;DEU;Unterunsbach 10;;;EUR;003;00475;2011-06-24 14:16:50;?;;DEU;DEU;53,69
00477;Yes;;;;;Yes;Pre-Mervo;Pre-Mervo     B + S;3542 AJ;Utrecht;NLD;Protonweg 10;;;EUR;003;;2011-06-24 14:16:50;?;NL007179558B01;NLD;NLD;55,69
00478;Yes;;00297;;;No;CCPA;CCPA     S   Nutristar;35150;Janze;FRA;Parc d'activite du Bois de Teillay;;;EUR;003;00297;2011-06-24 14:16:50;?;;FRA;FRA;50,69
00479;Yes;;;;;Yes;Ardol;Ardol;6114 ZG;Susteren;NLD;P.O. Box 21;+31 464861505;;EUR;003;;2011-06-24 14:16:50;?;NL809522226B01;NLD;NLD;55,69
00480;Yes;1;;;;Yes;Dierenkliniek "Venhei" DO NOT USE;Dierenkliniek "Venhei" DO NOT USE;2460;Kasterlee;BEL;Geelsebaan 95-97;014 859595;;EUR;003;;2011-06-24 14:16:50;?;BE0473683365;BEL;BEL;54,69
00481;Yes;;;00482;00482;Yes;Dierenartspraktijk Schillebeekx bvba;Dierenartsprakt. Schillebeekx  B;3582;Koersel;BEL;Mijnschoolstraat 81;011 43 15 08;;EUR;003;;2011-06-24 14:16:50;?;BE0459486822;BEL;BEL;54,69
00482;Yes;;00481;;;No;Dierenartspraktijk Schillebeekx bvba;Dierenartsprakt. Schillebeekx   S;3560;Lummen;BEL;Dwarsstraat 3;;;EUR;003;00481;2011-06-24 14:16:50;?;;BEL;BEL;54,69
00483;Yes;;;;;Yes;Arkervaart Diervoeding;Arkervaart Diervoeding;3860 AA;Nijkerk;NLD;Westkadijk 4;+31 33 245 38 84;;EUR;003;;2011-06-24 14:16:50;?;NL001219054B01;NLD;NLD;55,69
00484;Yes;;;;;Yes;Perial Sp Zo.o.;Perial Sp zo.o.               B + S;60-316;Poznan;POL;ul. Kasztelanska 37;+48 61 662 24 78;;EUR;003;;2011-06-24 14:16:50;?;PL7792273673;POL;POL;70,69
00485;Yes;;;00691;00691;Yes;Duregger S.A.S. di Duregger R e C;Duregger sas    B+S;12037;Saluzzo (CN);ITA;Via S. Caterina 16;+39 33505641094;;EUR;003;;2011-06-24 14:16:50;?;IT03015290046;ITA;ITA;52,69
00486;Yes;;;00487;00487;Yes;Curavet bvba;Curavet bvba            B;8800;Beveren (Roeselare);BEL;Beversesteenweg 313;051 249494;;EUR;003;;2011-06-24 14:16:50;?;BE0454070460;BEL;BEL;54,69
00487;Yes;;00486;;;No;Curavet bvba;Curavet bvba            S;8730;Beernem;BEL;St-Jorisstraat 90;;;EUR;003;00486;2011-06-24 14:16:50;?;BE0454070460;BEL;BEL;54,69
00488;Yes;;;;;Yes;Dr Chadebec de Lavalade;Dr Chadebec de L.   B + S;19330;Chanteix;FRA;Rochefort;+33 5 55 29 46 08;;EUR;003;;2011-06-24 14:16:50;?;FR07333288280;FRA;FRA;50,69
00489;Yes;;;02149,03866;02149,03866;Yes;Vitfoss;Vitfoss   B + S;6300;Graesten;DNK;Ulsnaes 34;+45 33685624;;EUR;003;;2011-06-24 14:16:50;?;DK82776214;DNK;DNK;57,69
00489_22690;Yes;;;02149,03866;02149,03866;No;Vitfoss;Vitfoss   B + S;22690;Pleudihen sur Rance;FRA;Z.I.de la Gare;+45 33685624;;EUR;003;;2011-06-24 14:16:50;?;DK82776214;FRA;FRA;50,69
00490;Yes;;;;;Yes;Altravet GCV;Altravet GCV;9880;Maria-Aalter;BEL;Brouwerijstraat 65;09 3751560;;EUR;003;;2011-06-24 14:16:50;?;BE0476526752;BEL;BEL;54,69
00491;Yes;;;;;Yes;Agromil d.d.;Agromil    d.d.   B + S;10313;Ivanicko Graberje;HRV;Dragutina Flajpana 9;;;EUR;003;;2011-06-24 14:16:50;?;HR13831747542;HRV;HRV;184,69
00491_44313;Yes;;;;;No;Agromil d.d.;Agromil    d.d.   B + S;44313;Ivanicko-Graberje;HRV;Flajpana 9;;;EUR;003;;2011-06-24 14:16:50;?;HR13831747542;HRV;HRV;184,69
00492;Yes;;00493;;;No;Elvetis sas;Elvetis    S;35410;Domloup;FRA;Z.A. du Gifard;+33 2 90 02 60 00;;EUR;003;00493;2011-06-24 14:16:50;?;FR56413144775;FRA;FRA;50,69
00493;Yes;;;00492;00492;Yes;Elvetis sas;Elvetis    B;63000;Clermont-Ferrand;FRA;Av. Leonard de Vinci 6;+33 473289963;;EUR;003;;2011-06-24 14:16:50;?;FR56413144775;FRA;FRA;50,69
00494;Yes;;00237;;;No;Martini S.p.A.;Martini  Gatteo(FC) Cafar   S;47030;Gatteo, Cafar (FC);ITA;Via Pirandello 5/7;;;EUR;003;00237;2011-06-24 14:16:50;?;IT00548890409;ITA;ITA;52,69
00494_47030;Yes;;00237;;;No;Martini S.p.A.;Martini  Gatteo(FC) Cafar   S;47030;Gatteo (FC);ITA;Via Pirandello 5/7;;;EUR;003;00237;2011-06-24 14:16:50;?;IT00548890409;ITA;ITA;52,69
00495;Yes;;;;;Yes;Mega Tierernaehrung GmbH & Co KG;Mega Cloppenburg     B + S;49661;Cloppenburg;DEU;Boschstrasse 11;;;EUR;003;;2011-06-24 14:16:50;?;DE 117772947;DEU;DEU;53,69
00496;Yes;;;00498;00498;Yes;Poultry Health Services Ltd;Poultry Health    B + S;YO7 3JA;Thirsk, North Yorkshire;UK;Main Site Lane, Dalton;+44 1845 577907;;GBP;003;;2011-06-24 14:16:50;?;GB755568000;UK;UK;59,69
00498;Yes;;00496;;;No;Lincs Turkeys Ltd;Lincs Turkeys     S Poultry health;LN11 7JE;Grainthorpe, Lincolnshire;UK;Ivy House - Ivy Lane;;;GBP;003;00496;2011-06-24 14:16:50;?;;UK;UK;59,69
00499;Yes;;;00535;00535;Yes;Kon-Pharma Handels GmbH;Kon-Pharma    B;30625;Hannover;DEU;Senator-Bauer Str. 34;;;EUR;003;;2011-06-24 14:16:50;?;DE166238338;DEU;DEU;53,69
00500;Yes;;;;;Yes;Vetsonic (UK) Ltd;Vetsonic (UK) Ltd;YO17 6YE;Malton - Yorkshire;UK;Riccal Dr. - York Road Business Park;+44 844 225 0969;;GBP;003;;2011-06-24 14:16:50;?;GB902785714;UK;UK;59,69
00500_CM1 4RG;Yes;;;;;No;Vetsonic (UK) Ltd;Vetsonic (UK) Ltd;CM1 4RG;Chelmsford;UK;Armours Farm, Good Easter;+44 844 225 0969;;GBP;003;;2011-06-24 14:16:50;?;GB902785714;UK;UK;59,69
00500_EX8 5AN;Yes;;;;;No;Vetsonic (UK) Ltd;Vetsonic (UK) Ltd;EX8 5AN;Exmouth-Devon;UK;Nutwell Estate, Lympstone;+44 844 225 0969;;GBP;003;;2011-06-24 14:16:50;?;GB902785714;UK;UK;59,69
00500_EX8 5AN;Yes;;;;;No;Vetsonic (UK) Ltd;Vetsonic (UK) Ltd;EX8 5AN;Exmouth-Devon;UK;Nutwell Estate, Lympstone;+44 844 225 0969;;GBP;003;;2011-06-24 14:16:50;?;GB902785714;UK;UK;59,69
00500_GL54 3JL;Yes;;;;;No;Vetsonic (UK) Ltd;Vetsonic (UK) Ltd;GL54 3JL;Cheltenham;UK;Unit 6, The HayloftFar Peak, Norhleach;+44 844 225 0969;;GBP;003;;2011-06-24 14:16:50;?;GB902785714;UK;UK;59,69
00500_LD1 6RF;Yes;;;;;No;Vetsonic (UK) Ltd;Vetsonic (UK) Ltd;LD1 6RF;Llandrindod Wells;UK;Taylors GarageCrossgates;+44 844 225 0969;;GBP;003;;2011-06-24 14:16:50;?;GB902785714;UK;UK;59,69
00500_LN4 3BX;Yes;;;;;No;Vetsonic (UK) Ltd;Vetsonic (UK) Ltd;LN4 3BX;Lincoln;UK;8 Princes streetMetheringham;+44 844 225 0969;;GBP;003;;2011-06-24 14:16:50;?;GB902785714;UK;UK;59,69
00500_NG22 0EJ;Yes;;;;;No;Vetsonic (UK) Ltd;Vetsonic (UK) Ltd;NG22 0EJ;Newark;UK;Woordside Farm, Wellow;+44 844 225 0969;;GBP;003;;2011-06-24 14:16:50;?;GB902785714;UK;UK;59,69
00500_NG24 3NB;Yes;;;;;No;Vetsonic (UK) Ltd;Vetsonic (UK) Ltd;NG24 3NB;Newark;UK;Field House FarmCoddington RoadBalderton;+44 844 225 0969;;GBP;003;;2011-06-24 14:16:50;?;GB902785714;UK;UK;59,69
00500_PO20 2DD;Yes;;;;;No;Vetsonic (UK) Ltd;Vetsonic (UK) Ltd;PO20 2DD;Chichester;UK;Madam Green Business CentreHigh StreetOving;+44 844 225 0969;;GBP;003;;2011-06-24 14:16:50;?;GB902785714;UK;UK;59,69
00500_YO41 1HS;Yes;;;;;No;Vetsonic (UK) Ltd;Vetsonic (UK) Ltd;YO41 1HS;York;UK;The AirfieldFull Sutton;+44 844 225 0969;;GBP;003;;2011-06-24 14:16:50;?;GB902785714;UK;UK;59,69
00501;Yes;;;;;Yes;Tinne Vermeulen bvba;Tinne Vermeulen bvba;8980;Zonnebeke;BEL;Mispelarestraat 3A;051 771433;;EUR;003;;2011-06-24 14:16:50;?;BE0874748077;BEL;BEL;54,69
00502;Yes;;;;;Yes;Provet DAP bvba;Provet DAP bvba     B + S;8610;Kortemark;BEL;Talpestraat 2;;;EUR;003;;2011-06-24 14:16:50;?;BE0808612982;BEL;BEL;54,69
00503;Yes;;;;;Yes;DSM Nutritional Products Europe Ltd.;DSM Nutritional Products Europe Ltd.;4002;Basel;CHE;P.O. Box 2676;;;EUR;003;;2011-06-24 14:16:50;?;;CHE;CHE;60,69
00504;Yes;;;00505;00505;Yes;Consorzio Agrario Ravenna;Consorzio Agrario Ravenna  B;48010;Cotignola (RA);ITA;via Madonna di Genova 39;0544436361;;EUR;003;;2011-06-24 14:16:50;?;IT00072430390;ITA;ITA;52,69
00505;Yes;;00504;;;No;Consorzio Agrario Ravenna;Consorzio Agrario Ravenna  S;4800;Ravenna Porto san Vitale;ITA;via Classicana 75;;;EUR;003;00504;2011-06-24 14:16:50;?;IT00072430390;ITA;ITA;52,69
00506;Yes;;;;;Yes;DAP Grymonpre;DAP Grymonpre  B;8800;Roeselare;BEL;Mandellaan 373;;;EUR;003;;2011-06-24 14:16:50;?;BE0530992549;BEL;BEL;54,69
00507;Yes;;;;;Yes;Peter Bonny;Peter Bonny B+S;8980;Beselare;BEL;Beselarestraat 187;057 467641;;EUR;003;;2011-06-24 14:16:50;?;BE0876663630;BEL;BEL;54,69
00508;Yes;1;;01524;01524;Yes;DAP Lintjeshof DO NOT USE;DAP Lintjeshof DO NOT USE;6030 AA;Nederweert;NLD;Bronsstr 12, Postbus 2725;00 31 495 461235;;EUR;003;;2011-06-24 14:16:50;?;NL804959729B01;NLD;NLD;55,69
00509;Yes;;;;;Yes;F.lli Menis;F.lli Menis   B+S;30011;Artegna (UD);ITA;Via Nazionale 37;;;EUR;003;;2011-06-24 14:16:50;?;IT00227210309;ITA;ITA;52,69
00510;Yes;;;;;Yes;The Donkey Sanctuary;The Donkey Sanctuary  B+S;EIRE;Mallow;IRL;Hannigans Farm, Liscarroll, P51 EE70;;;EUR;003;;2011-06-24 14:16:50;?;;IRL;IRL;64,69
00511;Yes;;00512;;;No;ABN Sherburn Mill (Ab Agri);ABN Sherburn Mill S;LS25 6JZ;Sherburn in Elmet;UK;Bishop Dyke Road;+44 1733422149;;GBP;003;00512;2011-06-24 14:16:50;?;GB289729879;UK;UK;59,69
00511_LS25 6JK;Yes;;00512;;;No;ABN Sherburn Mill (Ab Agri);ABN Sherburn Mill S;LS25 6JK;Sherburn in Elmet;UK;Bishop Dyke Road;+44 1733422149;;GBP;003;00512;2011-06-24 14:16:50;?;GB289729879;UK;UK;59,69
00512;Yes;;;00511,00913,00923,00935,01132,01133;00511,00913,00923,00935,01132,01133;Yes;Ab Agri Ltd;Ab Agri B;PE2 6FL;Lynch Wood;UK;64 Inno. Way, Peterborough Bus Park;;;GBP;003;;2011-06-24 14:16:50;?;GB289729879;UK;UK;59,69
